GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47
0400000US01,01,Alabama,21988,16182,211,119,8980,15,75,157,2364,4,29,19,2796,19,32,48,115,20,209,101,2,95,8,23,3,3,36,38,8,66,6,172,2,9,0,16,2,380,949,82,18,24,23,16,1,12,4763
0400000US02,02,Alaska,95913,5113,116,151,962,29,421,394,277,49,25,17,87,36,25,5,134,20,125,47,23,212,30,11,27,21,39,111,64,54,30,282,12,17,46,15,23,1176,552,72525,11910,8282,41481,9153,1699,3900,13823
0400000US04,04,Arizona,252270,214648,23404,293,3036,161,277,856,1254,71,176,93,411,107,89,8,544,171,3147,77,45,125881,96,59,341,6438,265,10233,49,104,175,1777,15393,184,40,10065,4411,4917,9583,562,88,94,218,138,24,80,27397
0400000US05,05,Arkansas,17294,12899,202,146,7619,75,205,158,1926,4,75,3,387,6,70,29,140,52,329,39,12,117,115,32,12,6,133,51,11,68,22,205,15,9,1,15,9,601,601,135,41,20,40,28,6,56,3603
0400000US06,06,California,324938,194070,9907,2945,27131,609,1651,3503,7540,203,1113,331,2082,294,576,75,2201,394,41225,480,152,8034,835,331,3243,999,1355,4341,325,756,1074,5588,1143,397,194,3801,2127,57115,18321,2337,315,527,656,751,88,241,109969
0400000US08,08,Colorado,42846,27538,2141,430,4103,328,231,894,845,35,190,46,273,88,123,15,447,123,2370,64,54,4784,177,41,78,46,326,950,48,127,139,3018,70,2648,22,107,47,2110,2847,423,77,89,137,107,13,65,11973
0400000US09,09,Connecticut,9489,5376,65,156,620,11,19,99,47,1,19,15,28,1,17,9,242,5,670,21,4,53,3,5,6,2,17,46,2,24,5,124,5,4,0,4,5,3022,609,50,12,9,11,17,1,18,3436
0400000US10,10,Delaware,2693,1691,21,32,342,3,14,31,24,0,1,2,7,1,187,0,60,3,263,32,2,25,2,4,2,6,9,5,1,5,1,22,0,0,0,1,0,583,201,5,1,0,3,1,0,1,795
0400000US11,11,District of Columbia,1673,699,10,41,172,3,9,17,15,1,3,0,7,1,2,0,25,5,172,13,0,20,3,1,0,2,9,14,1,4,1,20,2,2,1,2,1,120,120,10,0,3,2,4,1,2,842
0400000US12,12,Florida,52309,32496,743,825,10166,111,192,1207,904,11,143,134,3837,64,173,106,1524,51,4762,728,60,388,103,138,58,14,201,234,35,1933,67,922,21,25,12,54,15,2535,2959,428,89,80,137,108,14,75,16351
0400000US13,13,Georgia,21263,12773,296,235,5620,41,73,335,427,6,51,32,1007,19,43,34,315,17,1733,389,29,196,54,26,14,9,86,113,13,145,18,357,29,11,20,22,7,951,1139,174,39,36,66,30,3,24,7153
