POPGROUP.id,POPGROUP.display-label,GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Population Group,Id,Id2,Geography,Median age-- - Both sexes,Median age-- - Male,Median age-- - Female
001,Total population,0400000US01,01,Alabama,37.9,36.4,39.1
001,Total population,0400000US02,02,Alaska,33.8,33.6,34.1
001,Total population,0400000US04,04,Arizona,35.9,34.8,37.2
001,Total population,0400000US05,05,Arkansas,37.4,36.1,38.7
001,Total population,0400000US06,06,California,35.2,34.0,36.3
001,Total population,0400000US08,08,Colorado,36.1,35.1,37.1
001,Total population,0400000US09,09,Connecticut,40.0,38.5,41.3
001,Total population,0400000US10,10,Delaware,38.8,37.4,40.1
001,Total population,0400000US11,11,District of Columbia,33.8,33.6,34.0
001,Total population,0400000US12,12,Florida,40.7,39.4,42.1
001,Total population,0400000US13,13,Georgia,35.3,34.1,36.5
001,Total population,0400000US15,15,Hawaii,38.6,37.2,39.9
001,Total population,0400000US16,16,Idaho,34.6,33.7,35.4
001,Total population,0400000US17,17,Illinois,36.6,35.2,37.9
001,Total population,0400000US18,18,Indiana,37.0,35.7,38.2
001,Total population,0400000US19,19,Iowa,38.1,36.6,39.5
001,Total population,0400000US20,20,Kansas,36.0,34.7,37.4
001,Total population,0400000US21,21,Kentucky,38.1,36.7,39.3
001,Total population,0400000US22,22,Louisiana,35.8,34.5,37.2
001,Total population,0400000US23,23,Maine,42.7,41.5,43.8
001,Total population,0400000US24,24,Maryland,38.0,36.4,39.3
001,Total population,0400000US25,25,Massachusetts,39.1,37.7,40.3
001,Total population,0400000US26,26,Michigan,38.9,37.6,40.0
001,Total population,0400000US27,27,Minnesota,37.4,36.3,38.4
001,Total population,0400000US28,28,Mississippi,36.0,34.5,37.5
001,Total population,0400000US29,29,Missouri,37.9,36.5,39.2
001,Total population,0400000US30,30,Montana,39.8,38.8,41.0
001,Total population,0400000US31,31,Nebraska,36.2,35.0,37.5
001,Total population,0400000US32,32,Nevada,36.3,35.8,36.9
001,Total population,0400000US33,33,New Hampshire,41.1,40.2,42.0
001,Total population,0400000US34,34,New Jersey,39.0,37.4,40.3
001,Total population,0400000US35,35,New Mexico,36.7,35.3,38.0
001,Total population,0400000US36,36,New York,38.0,36.3,39.4
001,Total population,0400000US37,37,North Carolina,37.4,36.0,38.7
001,Total population,0400000US38,38,North Dakota,37.0,35.5,38.7
001,Total population,0400000US39,39,Ohio,38.8,37.4,40.0
001,Total population,0400000US40,40,Oklahoma,36.2,34.9,37.7
001,Total population,0400000US41,41,Oregon,38.4,37.3,39.5
001,Total population,0400000US42,42,Pennsylvania,40.1,38.7,41.5
001,Total population,0400000US44,44,Rhode Island,39.4,37.8,40.8
001,Total population,0400000US45,45,South Carolina,37.9,36.4,39.2
001,Total population,0400000US46,46,South Dakota,36.9,35.6,38.2
001,Total population,0400000US47,47,Tennessee,38.0,36.7,39.2
001,Total population,0400000US48,48,Texas,33.6,32.6,34.6
001,Total population,0400000US49,49,Utah,29.2,28.7,29.7
001,Total population,0400000US50,50,Vermont,41.5,40.4,42.7
001,Total population,0400000US51,51,Virginia,37.5,36.1,38.7
001,Total population,0400000US53,53,Washington,37.3,36.2,38.3
001,Total population,0400000US54,54,West Virginia,41.3,40.1,42.6
001,Total population,0400000US55,55,Wisconsin,38.5,37.3,39.6
001,Total population,0400000US56,56,Wyoming,36.8,36.0,37.7
001,Total population,0400000US72,72,Puerto Rico,36.9,35.1,38.6
