GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
0400000US01,01,Alabama,4779736(r38235),3275394,1251311,28218,53595,3057,96910,71251
0400000US02,02,Alaska,710231(r38823),473576,23263,104871,38135,7409,11102,51875
0400000US04,04,Arizona,6392017,4667121,259008,296529,176695,12648,761716,218300
0400000US05,05,Arkansas,2915918(r39193),2245229,449895,22248,36102,5863,99571,57010
0400000US06,06,California,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384
0400000US08,08,Colorado,5029196,4089202,201737,56010,139028,6623,364140,172456
0400000US09,09,Connecticut,3574097,2772410,362296,11256,135565,1428,198466,92676
0400000US10,10,Delaware,897934,618617,191814,4181,28549,400,30519,23854
0400000US11,11,District of Columbia,601723(r39494),231471,305125,2079,21056,302,24374,17316
0400000US12,12,Florida,18801310(r40184),14109162,2999862,71458,454821,12286,681144,472577
0400000US13,13,Georgia,9687653(r41102),5787440,2950435,32151,314467,6799,388872,207489
0400000US15,15,Hawaii,1360301,336599,21424,4164,525078,135422,16985,320629
0400000US16,16,Idaho,1567582(r41542),1396487,9810,21441,19069,2317,79523,38935
0400000US17,17,Illinois,12830632,9177877,1866414,43963,586934,4050,861412,289982
0400000US18,18,Indiana,6483802,5467906,591397,18462,102474,2348,173314,127901
0400000US19,19,Iowa,3046355,2781561,89148,11084,53094,2003,56132,53333
0400000US20,20,Kansas,2853118,2391044,167864,28150,67762,2238,110127,85933
0400000US21,21,Kentucky,4339367,3809537,337520,10120,48930,2501,55551,75208
0400000US22,22,Louisiana,4533372,2836192,1452396,30579,70132,1963,69227,72883
0400000US23,23,Maine,1328361,1264971,15707,8568,13571,342,4261,20941
0400000US24,24,Maryland,5773552(r42264),3359284,1700298,20420,318853,3157,206832,164708
0400000US25,25,Massachusetts,6547629,5265236,434398,18850,349768,2223,305151,172003
0400000US26,26,Michigan,9883640(r45127),7803120,1400362,62007,238199,2604,147029,230319
0400000US27,27,Minnesota,5303925,4524062,274412,60916,214234,2156,103000,125145
0400000US28,28,Mississippi,2967297,1754684,1098385,15030,25742,1187,38162,34107
0400000US29,29,Missouri,5988927,4958770,693391,27376,98083,6261,80457,124589
0400000US30,30,Montana,989415,884961,4027,62555,6253,668,5975,24976
0400000US31,31,Nebraska,1826341,1572838,82885,18427,32293,1279,79109,39510
0400000US32,32,Nevada,2700551,1786688,218626,32062,195436,16871,324793,126075
0400000US33,33,New Hampshire,1316470,1236050,15035,3150,28407,384,12062,21382
0400000US34,34,New Jersey,8791894(r46246),6029248,1204826,29026,725726,3043,559722,240303
0400000US35,35,New Mexico,2059179(r46748),1407876,42550,193222,28208,1810,308503,77010
0400000US36,36,New York,19378102,12740974,3073800,106906,1420244,8766,1441563,585849
0400000US37,37,North Carolina,9535483,6528950,2048628,122110,208962,6604,414030,206199
0400000US38,38,North Dakota,672591,605449,7960,36591,6909,320,3509,11853
0400000US39,39,Ohio,11536504,9539437,1407681,25292,192233,4066,130030,237765
0400000US40,40,Oklahoma,3751351,2706845,277644,321687,65076,4369,154409,221321
0400000US41,41,Oregon,3831074,3204614,69206,53203,141263,13404,204625,144759
0400000US42,42,Pennsylvania,12702379,10406288,1377689,26843,349088,3653,300983,237835
0400000US44,44,Rhode Island,1052567,856869,60189,6058,30457,554,63653,34787
0400000US45,45,South Carolina,4625364,3060000,1290684,19524,59051,2706,113464,79935
0400000US46,46,South Dakota,814180(r48166),699392,10207,71817,7610,394,7477,17283
0400000US47,47,Tennessee,6346105,4921948,1057315,19994,91242,3642,141955,110009
0400000US48,48,Texas,25145561(r48514),17701552,2979598,170972,964596,21656,2628186,679001
0400000US49,49,Utah,2763885,2379560,29287,32927,55285,24554,166754,75518
0400000US50,50,Vermont,625741,596292,6277,2207,7947,160,2105,10753
0400000US51,51,Virginia,8001024,5486852,1551399,29225,439890,5980,254278,233400
0400000US53,53,Washington,6724540,5196362,240042,103869,481067,40475,349799,312926
0400000US54,54,West Virginia,1852994,1739988,63124,3787,12406,428,6119,27142
0400000US55,55,Wisconsin,5686986,4902067,359148,54526,129234,1827,135867,104317
0400000US56,56,Wyoming,563626,511279,4748,13336,4426,427,17049,12361
0400000US72,72,Puerto Rico,3725789(r49850),2825100,461498,19839,6831,370,289905,122246
