GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054
Id,Id2,Geography,"Total tribes tallied (300, A01-M38, M41-R98, S01-Z99):","American Indian tribes, specified (A01-M38, T01-Z99):","American Indian tribes, specified (A01-M38, T01-Z99): - Apache (A09-A23)","American Indian tribes, specified (A01-M38, T01-Z99): - Arapaho (A24-A33)","American Indian tribes, specified (A01-M38, T01-Z99): - Blackfeet (A45-A50)","American Indian tribes, specified (A01-M38, T01-Z99): - Canadian and French American Indian (T01-V23)","American Indian tribes, specified (A01-M38, T01-Z99): - Central American Indian (V24-V83)","American Indian tribes, specified (A01-M38, T01-Z99): - Cherokee (B21-B39)","American Indian tribes, specified (A01-M38, T01-Z99): - Cheyenne (B40-B45)","American Indian tribes, specified (A01-M38, T01-Z99): - Chickasaw (B53-B56)","American Indian tribes, specified (A01-M38, T01-Z99): - Chippewa (B67-B99)","American Indian tribes, specified (A01-M38, T01-Z99): - Choctaw (C08-C16)","American Indian tribes, specified (A01-M38, T01-Z99): - Colville (C35-C38)","American Indian tribes, specified (A01-M38, T01-Z99): - Comanche (C39-C43)","American Indian tribes, specified (A01-M38, T01-Z99): - Cree (C59-C63)","American Indian tribes, specified (A01-M38, T01-Z99): - Creek (C64-C80)","American Indian tribes, specified (A01-M38, T01-Z99): - Crow (C83-C86)","American Indian tribes, specified (A01-M38, T01-Z99): - Delaware (C93-D04)","American Indian tribes, specified (A01-M38, T01-Z99): - Hopi (D74-D75)","American Indian tribes, specified (A01-M38, T01-Z99): - Houma (D78-D86)","American Indian tribes, specified (A01-M38, T01-Z99): - Iroquois (D93-E09)","American Indian tribes, specified (A01-M38, T01-Z99): - Kiowa (E30-E36)","American Indian tribes, specified (A01-M38, T01-Z99): - Lumbee (E78-E83)","American Indian tribes, specified (A01-M38, T01-Z99): - Menominee (F11-F14)","American Indian tribes, specified (A01-M38, T01-Z99): - Mexican American Indian (V84-W66)","American Indian tribes, specified (A01-M38, T01-Z99): - Navajo  (F62-F70)","American Indian tribes, specified (A01-M38, T01-Z99): - Osage (G04-G09)","American Indian tribes, specified (A01-M38, T01-Z99): - Ottawa (G14-G22)","American Indian tribes, specified (A01-M38, T01-Z99): - Paiute (G23-G49)","American Indian tribes, specified (A01-M38, T01-Z99): - Pima (G84-G91)","American Indian tribes, specified (A01-M38, T01-Z99): - Potawatomi (H21-H33)","American Indian tribes, specified (A01-M38, T01-Z99): - Pueblo (H38-H65)","American Indian tribes, specified (A01-M38, T01-Z99): - Puget Sound Salish (H70-H92)","American Indian tribes, specified (A01-M38, T01-Z99): - Seminole (J47-J57)","American Indian tribes, specified (A01-M38, T01-Z99): - Shoshone  (J81-J92)","American Indian tribes, specified (A01-M38, T01-Z99): - Sioux (K16-K53)","American Indian tribes, specified (A01-M38, T01-Z99): - South American Indian (W67-X24)","American Indian tribes, specified (A01-M38, T01-Z99): - Spanish American Indian (X25-Z99)","American Indian tribes, specified (A01-M38, T01-Z99): - Tohono O'Odham (K78-K86)","American Indian tribes, specified (A01-M38, T01-Z99): - Ute (L06-L14)","American Indian tribes, specified (A01-M38, T01-Z99): - Yakama (L79-L84)","American Indian tribes, specified (A01-M38, T01-Z99): - Yaqui (L91-L99)","American Indian tribes, specified (A01-M38, T01-Z99): - Yuman (M22-M33)","American Indian tribes, specified (A01-M38, T01-Z99): - All other American Indian tribes (A01-A08, A34-A44, A51-B20, B46-B52, B57-B66, C01-C07, C17-C34, C44-C58, C81-C82, C87-C92, D05-D73, D76-D77, D87-D92, E10-E29, E37-E77, E84-F10, F15-F61, F71-G03, G10-G13, G50-G83, G92-H20, H34-H37, H66-H69, H93-J46, J58-J80, J93-K15, K54-K77, K87-L05, L15-L78, L85-L90, M01-M21, M34-M38)","American Indian tribes, not specified (M41-M43)","Alaska Native tribes, specified (M52-R98, S01-S99):","Alaska Native tribes, specified (M52-R98, S01-S99): - Alaskan Athabascan (M52-N27)","Alaska Native tribes, specified (M52-R98, S01-S99): - Aleut (R11-R98, S01-S99)","Alaska Native tribes, specified (M52-R98, S01-S99): - Inupiat (N67-P29, P33-P37)","Alaska Native tribes, specified (M52-R98, S01-S99): - Tlingit-Haida (N28-N55, N59-N66)","Alaska Native tribes, specified (M52-R98, S01-S99): - Tsimshian (N56-N58)","Alaska Native tribes, specified (M52-R98, S01-S99): - Yup'ik (P30-P32, P38-R10)","Alaska Native tribes, not specified (M44-M51)","American Indian or Alaska Native tribes, not specified (300)"
0400000US01,01,Alabama,27719,19645,148,11,150,34,147,9438,15,102,194,3397,17,44,23,3516,17,29,9,71,123,13,163,1,717,122,13,24,7,11,57,44,10,65,4,242,63,45,14,4,7,20,9,505,1167,140,25,40,28,29,3,15,23,6744
0400000US02,02,Alaska,103109,4646,157,38,173,73,10,920,26,58,389,295,16,42,31,75,35,19,14,4,109,10,46,30,87,259,19,15,27,24,64,77,83,36,36,290,43,8,19,19,25,20,5,920,424,78280,12318,7696,20941,8547,1449,27329,17051,2708
0400000US04,04,Arizona,292139,246709,24987,116,351,129,142,3029,179,388,955,1539,72,218,79,416,118,83,9681,12,593,199,128,61,3939,131367,118,67,466,19455,330,1468,81,124,224,1826,173,332,16829,195,53,14215,4509,7463,17061,779,143,128,232,190,17,69,120,27470
0400000US05,05,Arkansas,21667,15921,224,7,136,17,46,8659,45,318,190,2702,10,98,13,579,6,71,12,37,153,67,68,7,484,171,169,46,17,9,228,53,7,81,28,265,28,33,18,7,5,36,5,766,766,165,42,28,33,30,2,30,41,4774
0400000US06,06,California,353564,206808,10803,316,2498,597,2412,20969,543,1822,3095,7389,211,1150,221,2213,283,487,1022,72,1636,388,413,148,45933,8796,657,286,2390,1192,1393,2973,401,640,1011,5075,1592,2854,1408,440,168,5279,2263,63369,17691,2304,378,488,469,739,73,157,336,126425
0400000US08,08,Colorado,54470,31571,2592,229,388,91,97,3860,292,373,881,1097,22,248,47,322,99,125,163,16,377,101,87,56,2683,6069,260,45,71,80,375,890,58,128,194,3420,198,537,72,2529,20,175,49,2155,3846,715,115,140,196,168,12,84,177,18161
0400000US09,09,Connecticut,11066,5782,63,3,126,81,127,519,18,20,108,48,5,13,15,35,10,20,11,7,206,3,48,3,441,73,5,7,5,3,17,62,6,9,9,104,720,117,12,2,1,9,6,2685,611,53,16,4,15,15,3,0,14,4606
0400000US10,10,Delaware,4137,2069,25,1,31,8,35,392,1,3,34,26,0,1,1,14,0,206,0,5,41,2,32,3,267,27,1,5,2,6,26,4,1,5,1,33,77,19,2,0,1,0,1,730,248,9,2,2,3,2,0,0,3,1808
0400000US11,11,District of Columbia,2053,789,20,1,19,8,53,149,1,13,9,17,3,5,1,18,1,3,1,2,13,2,13,1,120,32,2,0,3,1,7,23,0,16,1,29,49,35,1,1,1,9,1,105,125,11,2,3,3,3,0,0,6,1122
