GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Total population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
0400000US01,01,Alabama,4663920(r27631),2300855,1010449,1352616
0400000US02,02,Alaska,683879(r28183),326501,121937,235441
0400000US04,04,Arizona,6252633,3210865,923252,2118516
0400000US05,05,Arkansas,2836987(r28502),1314090,615128,907769
0400000US06,06,California,36434140,17379138,3363791,15691211
0400000US08,08,Colorado,4913318,2753542,569484,1590292
0400000US09,09,Connecticut,3455945,1961469,482238,1012238
0400000US10,10,Delaware,873521,496446,140085,236990
0400000US11,11,District of Columbia,561702(r28754),203576,42670,315456
0400000US12,12,Florida,18379601(r29400),9158167,3193671,6027763
0400000US13,13,Georgia,9434454(r30216),4997016,1290020,3147418
0400000US15,15,Hawaii,1317421,607655,185505,524261
0400000US16,16,Idaho,1538631,849398,242894,446339
0400000US17,17,Illinois,12528859,6918705,1868758,3741396
0400000US18,18,Indiana,6296879,3560599,982526,1753754
0400000US19,19,Iowa,2948243,1621803,596098,730342
0400000US20,20,Kansas,2774044,1449502,510299,814243
0400000US21,21,Kentucky,4213497,2095569,871239,1246689
0400000US22,22,Louisiana,4405945,1980201,1052717,1373027
0400000US23,23,Maine,1292816,707291,259177,326348
0400000US24,24,Maryland,5635177(r31076),3316694,623826,1694657
0400000US25,25,Massachusetts,6308747,3405024,809188,2094535
0400000US26,26,Michigan,9654572(r33824),5415697,1767437,2471438
0400000US27,27,Minnesota,5168530,3132423,817737,1218370
0400000US28,28,Mississippi,2875333,1305743,712159,857431
0400000US29,29,Missouri,5814785,3118472,1027097,1669216
0400000US30,30,Montana,960566,459041,215494,286031
0400000US31,31,Nebraska,1775176,928899,324019,522258
0400000US32,32,Nevada,2664397,1316635,257510,1090252
0400000US33,33,New Hampshire,1276366,754068,200219,322079
0400000US34,34,New Jersey,8605018(r34823),4684035,1175302,2745681
0400000US35,35,New Mexico,2016550(r35270),940096,471357,605097
0400000US36,36,New York,18792424,7872489,2685346,8234589
0400000US37,37,North Carolina,9278237,4749270,1541016,2987951
0400000US38,38,North Dakota,647535,296371,160659,190505
0400000US39,39,Ohio,11230238,6041238,1848186,3340814
0400000US40,40,Oklahoma,3639334,1722782,775119,1141433
0400000US41,41,Oregon,3744432,1865562,521181,1357689
0400000US42,42,Pennsylvania,12276266,6483257,2491483,3301526
0400000US44,44,Rhode Island,1009904,522025,128649,359230
0400000US45,45,South Carolina,4486210,2241426,889073,1355711
0400000US46,46,South Dakota,780130(r36374),379856,176389,223885
0400000US47,47,Tennessee,6192633,3116367,1188105,1888161
0400000US48,48,Texas,24564422(r36690),11570592,4760988,8232842
0400000US49,49,Utah,2717733,1648455,338233,731045
0400000US50,50,Vermont,600412,331686,112922,155804
0400000US51,51,Virginia,7761190,4301930,1043689,2415571
0400000US53,53,Washington,6585165,3506138,857260,2221767
0400000US54,54,West Virginia,1803612,804068,557362,442182
0400000US55,55,Wisconsin,5536772,3044716,919680,1572376
0400000US56,56,Wyoming,549914,276084,116343,157487
0400000US72,72,Puerto Rico,3687834(r37793),1241394,1421649,1024791
