,state,n_outbreaks,perc_vacc,white_alone,black_alone,AI_AN_alone,asian_alone,PI_alone,other_race_alone,mult_races,total_households,1_person_household,2_person_household,3_person_household,4_person_household,5_person_household,6_person_household,7_more_person_household,total_avg_size,owner_avg_size,renter_avg_size,avg_age,avg_age_male,avg_age_female
0,Maine_1999,45,43.7,1236014.0,6760.0,7098.0,9111.0,382.0,2911.0,12647.0,518200.0,139969.0,190804.0,82223.0,69418.0,25602.0,7253.0,2931.0,2.39,2.54,2.03,38.6,37.6,39.6
1,Massachusetts_1999,427,65.0,5367286.0,343454.0,15015.0,238124.0,2489.0,236724.0,146005.0,2443580.0,684345.0,774129.0,400166.0,353184.0,154831.0,50905.0,26020.0,2.51,2.72,2.17,36.5,35.4,37.7
2,Rhode Island_1999,25,78.4,891191.0,46908.0,5121.0,23665.0,567.0,52616.0,28251.0,408424.0,116678.0,130732.0,67356.0,57638.0,24253.0,7804.0,3963.0,2.47,2.66,2.19,36.7,35.4,38.0
3,Ohio_1999,1307,52.5,9645453.0,1301307.0,24486.0,132633.0,2749.0,88627.0,157885.0,4445773.0,1215614.0,1484469.0,729645.0,612614.0,269997.0,88970.0,44464.0,2.49,2.62,2.19,36.2,34.9,37.5
4,Illinois_1999,13846,45.4,9125471.0,1876875.0,31006.0,423603.0,4610.0,722712.0,235016.0,4591779.0,1229807.0,1412418.0,734189.0,660575.0,330510.0,128726.0,95554.0,2.63,2.76,2.37,34.7,33.3,36.0
5,Michigan_1999,12260,43.7,7966053.0,1412742.0,58479.0,176510.0,2692.0,129552.0,192416.0,3785661.0,993607.0,1247892.0,610868.0,542690.0,249366.0,89020.0,52218.0,2.56,2.67,2.24,35.5,34.3,36.6
6,Wisconsin_1999,591,49.1,4769857.0,304460.0,47228.0,88763.0,1630.0,84842.0,66895.0,2084544.0,557875.0,721452.0,320561.0,290716.0,127921.0,42270.0,23749.0,2.5,2.66,2.15,36.0,35.0,37.1
7,Missouri_1999,5291,49.4,4748083.0,629391.0,25076.0,61595.0,3178.0,45827.0,82061.0,2194594.0,599808.0,745803.0,355321.0,298735.0,129318.0,43052.0,22557.0,2.48,2.59,2.2,36.1,34.8,37.4
8,North Dakota_1999,5,46.9,593181.0,3916.0,31329.0,3606.0,230.0,2540.0,7398.0,257152.0,75420.0,89355.0,37103.0,33279.0,15368.0,4633.0,1994.0,2.41,2.6,2.02,36.2,34.8,37.5
9,Nebraska_1999,1,58.3,1533261.0,68541.0,14896.0,21931.0,836.0,47845.0,23953.0,666184.0,183550.0,228394.0,99456.0,88835.0,43298.0,14980.0,7671.0,2.49,2.63,2.2,35.3,34.0,36.6
10,Delaware_1999,5,62.8,584773.0,150666.0,2731.0,16259.0,283.0,15855.0,13033.0,298736.0,74639.0,102181.0,51537.0,42582.0,18127.0,6177.0,3493.0,2.54,2.61,2.37,36.0,34.9,37.1
11,Virginia_1999,1490,63.1,5120110.0,1390293.0,21172.0,261025.0,3946.0,138900.0,143069.0,2699173.0,676907.0,909785.0,481924.0,389204.0,157215.0,53514.0,30624.0,2.54,2.62,2.36,35.7,34.5,36.8
12,West Virginia_1999,1995,52.3,1718777.0,57232.0,3606.0,9434.0,400.0,3107.0,15788.0,736481.0,199587.0,259239.0,132860.0,96168.0,34636.0,9820.0,4171.0,2.4,2.47,2.17,38.9,37.5,40.2
13,Tennessee_1999,584,57.4,4563310.0,932809.0,15152.0,56662.0,2205.0,56036.0,63109.0,2232905.0,576401.0,766259.0,404608.0,307454.0,119216.0,37845.0,21122.0,2.48,2.57,2.29,35.9,34.5,37.2
14,Louisiana_1999,173,58.6,2856161.0,1451944.0,25477.0,54758.0,1240.0,31131.0,48265.0,1656053.0,419200.0,511428.0,301865.0,244615.0,113491.0,40278.0,25176.0,2.62,2.7,2.44,34.0,32.6,35.3
15,Texas_1999,7473,57.2,14799505.0,2404566.0,118362.0,562319.0,14434.0,2438001.0,514633.0,7393354.0,1752141.0,2258060.0,1264381.0,1128749.0,577708.0,236233.0,176082.0,2.74,2.87,2.53,32.3,31.3,33.4
16,Arizona_1999,245,59.7,3873611.0,158873.0,255879.0,92236.0,6733.0,596774.0,146526.0,1901327.0,472006.0,665357.0,281032.0,246143.0,130223.0,58202.0,48364.0,2.64,2.69,2.53,34.2,32.9,35.5
17,Utah_1999,136,41.3,1992975.0,17657.0,29684.0,37108.0,15145.0,93405.0,47195.0,701281.0,124756.0,202904.0,115417.0,111697.0,71395.0,42686.0,32426.0,3.13,3.28,2.75,27.1,26.7,27.7
18,Nevada_1999,42,51.1,1501886.0,135477.0,26420.0,90266.0,8426.0,159354.0,76428.0,751165.0,186745.0,259230.0,120525.0,96759.0,49735.0,21522.0,16649.0,2.62,2.71,2.47,35.0,34.5,35.6
19,Maine_2001,1270,62.2,1236014.0,6760.0,7098.0,9111.0,382.0,2911.0,12647.0,518200.0,139969.0,190804.0,82223.0,69418.0,25602.0,7253.0,2931.0,2.39,2.54,2.03,38.6,37.6,39.6
20,Massachusetts_2001,195,83.2,5367286.0,343454.0,15015.0,238124.0,2489.0,236724.0,146005.0,2443580.0,684345.0,774129.0,400166.0,353184.0,154831.0,50905.0,26020.0,2.51,2.72,2.17,36.5,35.4,37.7
21,Rhode Island_2001,12,89.1,891191.0,46908.0,5121.0,23665.0,567.0,52616.0,28251.0,408424.0,116678.0,130732.0,67356.0,57638.0,24253.0,7804.0,3963.0,2.47,2.66,2.19,36.7,35.4,38.0
22,Ohio_2001,1192,70.8,9645453.0,1301307.0,24486.0,132633.0,2749.0,88627.0,157885.0,4445773.0,1215614.0,1484469.0,729645.0,612614.0,269997.0,88970.0,44464.0,2.49,2.62,2.19,36.2,34.9,37.5
23,Michigan_2001,8809,77.5,7966053.0,1412742.0,58479.0,176510.0,2692.0,129552.0,192416.0,3785661.0,993607.0,1247892.0,610868.0,542690.0,249366.0,89020.0,52218.0,2.56,2.67,2.24,35.5,34.3,36.6
24,Wisconsin_2001,16,67.6,4769857.0,304460.0,47228.0,88763.0,1630.0,84842.0,66895.0,2084544.0,557875.0,721452.0,320561.0,290716.0,127921.0,42270.0,23749.0,2.5,2.66,2.15,36.0,35.0,37.1
25,Missouri_2001,5744,69.5,4748083.0,629391.0,25076.0,61595.0,3178.0,45827.0,82061.0,2194594.0,599808.0,745803.0,355321.0,298735.0,129318.0,43052.0,22557.0,2.48,2.59,2.2,36.1,34.8,37.4
26,North Dakota_2001,21,68.3,593181.0,3916.0,31329.0,3606.0,230.0,2540.0,7398.0,257152.0,75420.0,89355.0,37103.0,33279.0,15368.0,4633.0,1994.0,2.41,2.6,2.02,36.2,34.8,37.5
27,Nebraska_2001,1,68.4,1533261.0,68541.0,14896.0,21931.0,836.0,47845.0,23953.0,666184.0,183550.0,228394.0,99456.0,88835.0,43298.0,14980.0,7671.0,2.49,2.63,2.2,35.3,34.0,36.6
