Reporting Area,"Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2014","Varicella (chickenpox), Cum 2013",Avg,n,%,CI,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2013-2017","Foreign born persons, percent, 2013-2017","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2013-2017","Median value of owner-occupied housing units, 2013-2017","Median selected monthly owner costs -with a mortgage, 2013-2017","Median selected monthly owner costs -without a mortgage, 2013-2017","Median gross rent, 2013-2017","Building permits, 2018","Households, 2013-2017","Persons per household, 2013-2017","Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","Households with a computer, percent, 2013-2017","Households with a broadband Internet subscription, percent, 2013-2017","High school graduate or higher, percent of persons age 25 years+, 2013-2017","Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","With a disability, under age 65 years, percent, 2013-2017","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2013-2017","In civilian labor force, female, percent of population age 16 years+, 2013-2017","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2013-2017","Median household income (in 2017 dollars), 2013-2017","Per capita income in past 12 months (in 2017 dollars), 2013-2017","Persons in poverty, percent","Total employer establishments, 2016","Total employment, 2016","Total annual payroll, 2016 ($1,000)","Total employment, percent change, 2015-2016","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
alabama,36.0,107.0,104.0,160.0,101.75,0.16868074124829707,0.548387096774194,(±4),-0.2249198359232597,-0.2039916138829712,0.28402366863905326,-0.20402083495099638,0.39393939393939403,0.34545454545454546,0.6105263157894736,1.0,0.6304347826086956,0.7043010752688174,0.026490066225165563,0.019021739130434777,0.009803921568627453,0.01762114537444933,0.0569620253164557,0.6115007012622722,-0.10151482787927602,0.07480314960629922,-0.17237067840163828,0.6302621719635886,-0.8512533619985181,-0.9779316387532654,-0.9732879587918493,-0.9615623970184537,-0.3267415626782202,-0.20801194281733804,-0.1362552849683756,0.5531914893617031,0.06265060240963856,0.16551724137931068,0.2906403940886704,0.2666666666666666,0.2072072072072073,0.6582278481012657,0.5238095238095237,0.2331288343558282,0.19883040935672502,-0.39962338058125557,-0.31950299953221145,-0.3294075850276579,-0.284128785815644,-0.9470976425009676,0.10016228873377589,-1.2036400433658383,-1.1233430813623089,0.7603305785123967,-0.324079998334903,-0.3073715906841006,-0.3710595870011603,0.7450980392156864,-0.28504051340244135,-0.2747441815048784,-0.2682779546258143,-0.2423124379335455,-0.22207129466638542,-0.30144601514405556,-0.1660453133278531,-0.2810226003624039,-0.38907039816298966,-0.23532439992934326
alaska,47.0,19.0,70.0,61.0,49.25,-0.37227790415440387,0.032258064516129004,(±4.7),-0.7936407176874133,-0.8043025039211041,0.3727810650887574,-0.8042953030850349,0.7575757575757578,0.5818181818181818,0.07368421052631602,0.0,0.5753623188405796,0.08602150537634409,1.0,0.1576086956521739,0.13725490196078433,0.26872246696035246,0.1160337552742616,0.5399719495091164,-0.863498635326555,0.23622047244094485,-0.8608275986614532,-0.5246685096450767,0.6570968494221231,1.1053227933682706,0.5854826158316955,1.3957693804972926,-0.6951448995332558,-0.8568701398877401,1.4312833916589436,0.06382978723404342,0.32530120481927716,0.9241379310344833,0.9162561576354684,0.942857142857144,0.40990990990990994,0.2531645569620252,0.6607142857142857,0.834355828220859,0.9064327485380117,-0.7296576544949741,-0.7501261862432852,-0.7026408723106319,-0.814918613093342,0.15038838407370927,-1.4448942927978685,1.9325772735856777,1.0292295300382353,0.2727272727272728,-0.7857601794550589,-0.8154738832977005,-0.709353934147159,0.4411764705882354,-0.711005891557306,-0.7400839147158191,-0.748233152215441,-0.7122622520070281,-0.48497492316776475,-0.9197822708243786,-0.8253986800283674,-0.7261110462502428,-0.7496575096841473,5.885642183394484
arizona,194.0,279.0,310.0,354.0,284.25,-0.200154698798999,0.5806451612903238,(±3.4),0.08801872536683457,0.0338014073456117,0.8698224852071006,0.033799519061989455,0.4242424242424241,0.3999999999999997,0.6736842105263159,0.6486486486486491,0.8289855072463768,0.12096774193548389,0.33112582781456956,0.07880434782608695,0.029411764705882356,0.07048458149779735,0.630801687763713,0.4572230014025246,0.3011154205536948,0.46456692913385833,0.09548513798664048,-0.6660885931073629,-0.14123642888756913,-0.3789594668249135,-0.6517478402596383,0.2092977573767845,0.4253650442426861,0.045040323085478715,0.6475140533452853,0.13829787234042712,0.5903614457831325,0.63448275862069,0.7438423645320205,0.3809523809523805,0.38288288288288275,0.2531645569620252,0.5654761904761904,0.34969325153374253,0.3099415204678362,-0.0039507598468714175,-0.07825928997820637,-0.24634382638369615,0.004513174590193825,-0.55250726421067,0.23335682162443488,-0.45899739183406685,-0.6110127828231516,0.5289256198347109,-0.09149626486779601,-0.052391929310997044,-0.13520652652437118,0.8725490196078433,-0.04182127855083066,-0.08355450727429754,-0.14946334794792424,-0.060031857779403945,-0.07780254771755707,-0.09953426017187553,-0.072215003391684,-0.09234029789241346,-0.5364777903191711,0.5056572168235168
arkansas,109.0,140.0,219.0,249.0,179.25,-0.2862163014767014,0.48387096774193594,(±4.2),-0.4817145109816416,-0.4789488751814941,0.34911242603550297,-0.4789442859969215,0.48484848484848486,0.4363636363636363,0.6210526315789473,0.8108108108108105,0.7753623188405796,0.40591397849462374,0.046357615894039736,0.024456521739130425,0.03921568627450981,0.03964757709251102,0.12658227848101264,0.7068723702664796,-0.4756453870117915,0.1220472440944882,-0.4870181366411442,-0.0768382453478404,-1.0092931376173218,-1.2993313407636005,-1.0571679897132957,-1.1593076675385383,-0.4569030823931088,-0.4949551949728485,-0.3171251322715265,0.382978723404257,0.1132530120481928,0.20000000000000018,0.11822660098522197,0.2952380952380951,0.09459459459459463,0.7594936708860759,0.3928571428571429,0.2699386503067487,0.23976608187134518,-0.6011027083750093,-0.5439010915483531,-0.5176251804638218,-0.5241861500050576,-0.7765457910148799,-0.699004908610178,-1.4849706501323885,-1.4282465953711854,0.793388429752066,-0.5238667790448405,-0.5418545933993303,-0.5473581495259023,0.715686274509804,-0.47850139397836017,-0.4908956968344262,-0.49782621103950203,-0.4932529182761195,-0.4103397664295371,-0.5348797877734436,-0.4769636940714789,-0.492562146982315,-0.5376384784463851,-0.21896068191224222
california,24.0,44.0,29.0,30.0,31.75,0.5252216666273499,0.596774193548387,(±4.7),4.525688885459513,4.5859982268205455,0.5147928994082841,4.586106008133791,0.4545454545454546,0.3818181818181816,0.33684210526315805,0.6486486486486491,0.6739130434782608,0.1586021505376344,0.08609271523178809,0.39402173913043476,0.04901960784313726,0.1145374449339207,0.7932489451476792,0.2103786816269284,3.5602485523326823,0.9999999999999999,4.051709183135581,-2.6931097894001264,2.766230619628952,2.1104273160187734,0.3827725411048668,2.217973400028171,2.438399113839708,4.254036848781834,2.3356326281747033,0.5957446808510642,1.0,0.7724137931034489,0.9014778325123154,0.0,0.5720720720720722,0.05063291139240511,0.3035714285714286,0.5828220858895707,0.47368421052631593,4.731280842106288,4.5620669996365715,3.9969338021695098,4.387234752940628,-0.6847101786762173,1.2189963650153113,0.986167992830961,0.5818067219812706,0.4297520661157025,4.515149487984897,4.360334850542034,4.777030934661773,0.6960784313725491,4.461215452548732,4.5505571005782075,4.436984776498383,4.569353672261018,4.892107478513506,4.015540642498108,3.916048430957408,4.597095108309402,0.17076817519657583,1.0022264614891494
colorado,238.0,331.0,309.0,353.0,307.75,-0.21244921346724222,0.19354838709677402,(±4.7),-0.11424418469488558,-0.16723772035960438,0.9289940828402367,-0.16722410689175643,0.36363636363636376,0.3363636363636362,0.3263157894736841,0.45945945945946143,0.8913043478260869,0.10752688172043012,0.08609271523178809,0.07336956521739128,0.019607843137254905,0.07929515418502203,0.42194092827004215,0.6465638148667603,-0.005256239426199969,0.3228346456692914,-0.11976197503308648,-0.28896837054126706,0.9383146854497002,0.40700889536399704,-0.31622771657385285,1.0054826623655464,0.4523500912793788,-0.11666467624738375,-0.1362552849683756,0.0744680851063837,0.34698795180722886,0.8896551724137938,0.9605911330049266,0.8190476190476188,0.8783783783783783,0.10126582278481011,0.3214285714285714,0.8527607361963194,0.7836257309941521,-0.02730720296429795,-0.24398401585050966,-0.19236133961147017,-0.18203146431894437,-0.47883693782910547,0.2599957282025661,0.8051387832869342,0.9784122777034225,0.1652892561983471,0.06216777951894244,-0.07449683455853305,-0.047266978405368816,0.7941176470588236,0.007084200100858349,-0.011461438888717743,-0.0372915618071779,-0.010863507517042246,-0.2433965816683819,0.17231662253531072,0.023652143952650848,-0.020786444023479688,-0.5666556816267357,0.3885081100274065
connecticut,109.0,113.0,185.0,223.0,157.5,-0.1878601841307558,0.8225806451612909,(±3),-0.4051384097495341,-0.3818759568190999,0.14792899408284024,-0.3818592476047845,0.1212121212121211,0.19090909090909114,0.6421052631578947,0.891891891891893,0.7884057971014493,0.30645161290322587,0.019867549668874173,0.11141304347826085,0.009803921568627453,0.04845814977973568,0.3122362869198312,0.6269284712482469,-0.5496829852382956,0.49606299212598426,-0.4375321138245448,0.15886189375596926,0.7523855376628724,1.6984513343509802,2.5426833373321105,0.9950750165486999,-0.6072123163545,-0.40820773142558997,-0.1362552849683756,0.7765957446808525,0.47228915662650617,0.63448275862069,0.8768472906403937,0.7333333333333334,0.8333333333333333,0.10126582278481011,0.17857142857142855,0.7975460122699389,0.7719298245614037,-0.27848389145047514,-0.24212352930229447,0.41105627292144575,-0.3606446232058538,0.18116845194545883,0.4731069808276207,1.6857384975095733,2.484450846898781,0.23140495867768596,-0.38387548257999893,-0.3576951935581935,-0.20932717764567574,0.7058823529411766,-0.36072348011011796,-0.346888933868131,-0.31324539828769066,-0.368262845723053,-0.34294583351946,-0.3378392620619639,-0.3772362548773823,-0.34210149684362956,2.1013794267959067,-0.77447980432868
delaware,22.0,12.0,15.0,23.0,18.0,-0.6058736828510247,0.556451612903226,(±3.9),-0.7621611216235028,-0.7766188620830081,0.6035502958579883,-0.7766080736819102,0.303030303030303,0.23636363636363655,0.7999999999999998,1.0,0.636231884057971,0.6021505376344087,0.026490066225165563,0.08967391304347823,0.009803921568627453,0.06167400881057269,0.16455696202531644,0.5624123422159888,-0.8639148106960126,0.2952755905511811,-0.8184702828504155,1.2666525475438755,0.386337527957555,0.14404550281008643,-0.2603076959595553,0.7504953398528057,-0.5739223517858697,-0.8164940461901923,0.22548440963792885,0.6702127659574479,0.24819277108433738,0.6482758620689664,0.7536945812807883,0.647619047619048,0.5,0.21518987341772144,0.21428571428571425,0.5153374233128836,0.5438596491228069,-0.7341503282447773,-0.7363787590510259,-0.6997092257884974,-0.7709712366716871,0.8785135961873914,0.3931902610932251,0.5488835258260149,0.46562000414303967,0.4049586776859505,-0.7605376350090306,-0.767090358763584,-0.6718474125309121,0.5784313725490197,-0.6972257914385905,-0.7318965646056531,-0.7398839714200447,-0.7048440692272313,-0.4824574010601507,-0.909635039671,-0.8398893233036038,-0.718899703436262,1.0285167012077416,-0.8085435057078458
florida,674.0,733.0,569.0,659.0,658.75,0.4022765199449179,0.645161290322581,(±3.7),2.023890490592515,1.8646213776035714,0.9349112426035504,1.8642387875957418,0.21212121212121215,0.1272727272727272,0.9894736842105263,0.8648648648648649,0.7492753623188406,0.43817204301075274,0.013245033112582783,0.05978260869565216,0.009803921568627453,0.03964757709251102,0.5147679324894515,0.44460028050490885,2.986478668471364,0.732283464566929,2.387129350608445,-0.26539835663088746,-0.3097347190693819,-0.15105785994485765,-0.08555763153987535,0.7556991627612291,3.3049750012849026,2.079021688336996,0.4063542569410824,0.37234042553191493,0.6313253012048193,0.6275862068965514,0.7044334975369457,0.4857142857142849,0.3873873873873874,0.26582278481012656,0.7619047619047619,0.3006134969325154,0.29824561403508776,2.203700605994265,1.8270662147670302,1.0552365478102352,2.0922190464718917,0.07823183152190293,0.7394960466089386,-0.7369422974285487,-0.4239128992267957,0.49586776859504134,2.3024636985891895,2.038340552862122,1.4822738469321524,1.0,2.701012695553874,2.349029427862048,2.246409126901063,2.484823965052584,2.569609640020562,2.068841103940254,2.623704193153496,2.328678257274708,0.6021572624777891,-0.2002529670827502
georgia,201.0,169.0,59.0,54.0,120.75,0.21785879992126989,0.5806451612903238,(±4.1),0.546761285691409,0.5200253373963802,0.6568047337278107,0.5199240347127604,0.4545454545454546,0.4818181818181817,0.2947368421052632,0.9459459459459456,0.5057971014492754,0.8548387096774195,0.013245033112582783,0.09510869565217389,0.009803921568627453,0.03964757709251102,0.17088607594936708,0.4291725105189341,0.7438982686319333,0.3307086614173228,0.5496291029071045,-0.6896586070177442,-0.5456323253239198,-0.38772491324337716,-0.5958278196453407,-0.024874273502263143,0.9199788191592626,0.5226533384370438,0.8283839006484363,0.3936170212765955,0.27469879518072293,0.5517241379310347,0.6157635467980298,0.3619047619047615,0.4504504504504503,0.2911392405063292,0.744047619047619,0.5460122699386503,0.5263157894736841,0.30296311227376077,0.24463474422263012,0.28091230077771234,0.3917551988347234,-0.9814098493088196,1.0058851123902566,-0.5153904769813294,-0.5992324197818996,0.5537190082644629,0.43304327218231964,0.46215454311528814,0.346312640015958,0.8039215686274511,0.6271621992536404,0.5700015513340483,0.5220521894699114,0.7297258668973668,0.7131915160809861,0.4417779509461305,0.8978433610858864,0.544009951372617,-0.10276732678352975,-0.15447799232129195
hawaii,48.0,35.0,46.0,30.0,39.75,-0.5566956241780519,0.38709677419354893,(±4.2),-0.7000440966959046,-0.7084185875399919,0.40828402366863914,-0.7084063869883858,0.4545454545454546,0.26363636363636345,0.7684210526315789,0.5405405405405403,0.0,0.043010752688172046,0.006622516556291393,0.9999999999999999,1.0,1.0,0.18987341772151894,0.0,-0.7535562007257136,0.6496062992125985,-0.7806307006407992,-1.8445892886264112,4.166509513898499,2.3938434168824325,0.13812245091731493,2.9933430133832397,-0.61158372584331,-0.7747734444687753,2.697372322781008,0.585106382978724,0.5614457831325302,0.6896551724137936,0.8620689655172415,0.8666666666666663,0.545045045045045,0.0,0.10119047619047622,0.49693251533742355,0.5906432748538011,-0.27881434930455135,-0.7115520663585734,-0.6714375101446178,-0.7219023692904775,-0.22502752570631815,0.8460516729214654,1.8065657080877606,0.43928742793318215,0.09917355371900838,-0.7194664644771905,-0.7207472925766117,-0.6611688903345301,0.5980392156862746,-0.6264870086499507,-0.6634365758270724,-0.6768770469008561,-0.6214698799923121,-0.28236795780499746,-0.9550589035851064,-0.7634206274656093,-0.6489256232710771,0.06514555562009947,-0.7558781479096718
idaho,,,,,,-1.0238871815712935,0.39516129032258007,(±4.8),-0.6543158976141008,-0.6778343472697027,0.8520710059171598,-0.677831294433077,0.5757575757575757,0.6363636363636365,0.5052631578947369,0.5405405405405403,0.9768115942028985,0.008064516129032258,0.09271523178807947,0.021739130434782608,0.019607843137254905,0.05286343612334802,0.23206751054852315,0.8401122019635345,-0.7291211575336274,0.16929133858267717,-0.7139542738750656,0.7716822554258764,-0.3318138053690677,-0.8435281270034888,-0.9103779356007645,-0.7273903661394061,-0.2987197069807199,-0.7126356551658761,0.5872241042442333,0.21276595744680904,0.19759036144578315,0.6827586206896559,0.6354679802955667,0.7333333333333334,0.31081081081081097,0.35443037974683544,0.5952380952380951,0.533742331288344,0.42690058479532134,-0.7013764525820659,-0.7168369930298748,-0.6124790946150563,-0.7048770193809597,-0.6105352610180667,-0.965393974391496,-0.7261503749425811,-1.1868646467808248,0.347107438016529,-0.6402174532963376,-0.7085186245810825,-0.6652560800763841,0.7941176470588236,-0.5957772494353978,-0.6205875181023491,-0.6482598445095269,-0.6187516429671314,-0.49533961524911185,-0.6969451665466343,-0.7312967917711095,-0.609721303927505,-0.6807900141361151,0.14132762519774017
illinois,283.0,469.0,579.0,731.0,515.5,2.357104352195587,0.5806451612903238,(±2.8),0.8511808858949667,0.9835993770809801,0.10650887573964497,0.983530799560439,0.39393939393939403,0.3545454545454543,0.4736842105263157,0.8108108108108105,0.7434782608695654,0.37634408602150543,0.019867549668874173,0.13858695652173914,0.009803921568627453,0.03083700440528634,0.3312236286919831,0.5497896213183731,0.6561546282379594,0.4881889763779528,0.9191418437667253,0.041011824204064434,-0.29811414733270514,0.4362270500922093,0.8091626982888858,0.10522129920831888,-0.13938743548473362,0.9899742338525823,0.22548440963792885,0.6702127659574479,0.4891566265060242,0.5310344827586206,0.6945812807881779,0.5809523809523798,0.6081081081081081,0.07594936708860756,0.29166666666666663,0.7177914110429451,0.6666666666666665,0.8552116809179464,0.9373217327614263,1.359551135388574,0.9086637744010784,-0.5449383950618791,1.192357458437179,0.3576972127657831,0.5346852698162624,0.371900826446281,0.9698088922129187,1.0791081211276605,1.0539688746525282,0.6666666666666667,0.7366436758361069,0.8818581122606888,0.8903463676181683,0.8965393528408623,0.5126467762744559,1.1570698138944442,0.7489214488717102,0.8959616955231353,0.13981649180420178,-0.17795633452047116
indiana,212.0,209.0,312.0,321.0,263.5,-0.31080533081318784,0.0967741935483879,(±5.3),0.02227761353531616,0.04733797586418052,0.3372781065088758,0.047338313597856285,0.48484848484848486,0.4454545454545451,0.49473684210526336,0.7567567567567579,0.86231884057971,0.24731182795698928,0.006622516556291393,0.04619565217391304,0.009803921568627453,0.03524229074889868,0.11392405063291136,0.8008415147265078,0.054059848731357905,0.13385826771653542,0.048989821732702186,0.7009722136947342,-0.8733324482982039,-1.0948042576661146,-0.6866978531435742,-0.7794285952236389,-0.14022809115565862,0.06723764899820278,-0.2568351831704771,0.4680851063829792,0.1421686746987952,0.4482758620689653,0.5270935960591134,0.5523809523809513,0.24324324324324342,0.430379746835443,0.38690476190476186,0.6319018404907975,0.5789473684210527,-0.06065201513580486,0.04081018479134361,-0.16295719022821542,0.01711133287511987,-0.44856146123394197,-0.21950459020380644,-0.5995039904749012,-0.763233552316977,0.4545454545454545,-0.050660324407730495,0.07068840264341424,-0.06860862272402504,0.7254901960784315,-0.15209170406519024,-0.11527478851247688,-0.12580828684271736,-0.13989838187105114,-0.32574164986117743,0.06826214076304456,-0.10336891651086688,-0.11799711941582425,-0.05401842544054065,-0.4097642354243502
iowa,,,,,,-0.6796407708604839,0.39516129032258007,(±4.8),-0.4622128455186226,-0.4596493124425227,0.3609467455621302,-0.4597041079408681,0.48484848484848486,0.427272727272727,0.6315789473684212,0.6216216216216228,0.9434782608695653,0.09139784946236561,0.013245033112582783,0.05163043478260869,0.009803921568627453,0.026431718061674,0.09493670886075947,0.8906030855539973,-0.5126711223812012,0.13385826771653542,-0.47676076626278224,1.2195125197231127,-0.7919884461414667,-0.8230754186937402,-0.21836768049883207,-0.9979891573774167,-0.41938181761415594,-0.452769031056644,-0.9803145723830833,0.43617021276595835,0.12289156626506023,0.49655172413793114,0.6059113300492611,0.8857142857142852,0.3513513513513513,0.17721518987341778,0.14285714285714285,0.8588957055214723,0.8304093567251463,-0.5295246866937882,-0.48277688837292204,-0.29692489807913447,-0.43489059127356483,0.295206080453908,-1.3916164796416053,-0.13523971725503578,-0.12616999804691575,0.2975206611570247,-0.4300570264211416,-0.4224699066728471,-0.4468648966790473,0.627450980392157,-0.4700739849331399,-0.44960627914182894,-0.46294569632900157,-0.4672791055040716,-0.48156354680119734,-0.40219252747567424,-0.4774680538106438,-0.4502682270151046,-0.5434419190824552,-0.1739753184909898
kansas,,230.0,,434.0,332.0,-1.0976542695807527,0.1532258064516121,(±5.9),-0.4957351012723674,-0.48822695515005804,0.26627218934911245,-0.48820763291474506,0.5454545454545454,0.5181818181818183,0.5052631578947369,0.6216216216216228,0.8811594202898552,0.1478494623655914,0.059602649006622516,0.062499999999999986,0.009803921568627453,0.07488986784140969,0.21940928270042193,0.755960729312763,-0.5353082879772307,0.2125984251968504,-0.5221161791798814,0.11172186593521001,-0.7687473026681132,-0.5075193476290475,-0.07856762896308815,-0.6805559599635965,-0.47654640323705644,-0.5052080798672639,-0.3171251322715265,0.32978723404255383,0.21686746987951808,0.544827586206897,0.6502463054187193,0.7619047619047619,0.5585585585585584,0.2911392405063292,0.42261904761904767,0.7546012269938651,0.7134502923976611,-0.5662113016775715,-0.49012304878737595,-0.3117886246798199,-0.5080584390163547,-0.3829645952777544,-1.3383386664853418,-0.2508825729134936,-0.23311721546063524,0.36363636363636365,-0.46933456765570053,-0.4837728436403069,-0.48410031780837315,0.4705882352941177,-0.48574693881335346,-0.4800131793003233,-0.492087932645947,-0.48823964280452886,-0.4433320275605694,-0.4915188685147284,-0.5604740278062749,-0.4747973699011742,-0.6192735433937716,0.13091718588232526
kentucky,,,,,,-0.6427572268557543,0.57258064516129,(±4.4),-0.2823983639594255,-0.269010596435876,0.3254437869822485,-0.2689776951238475,0.4545454545454546,0.3727272727272728,0.5578947368421052,0.7567567567567579,0.8985507246376812,0.20967741935483875,0.0,0.021739130434782608,0.009803921568627453,0.03083700440528634,0.044303797468354424,0.876577840112202,-0.2748907122928423,0.07874015748031496,-0.27069411586879977,0.25314194939749446,-0.8756565626455393,-1.0305243172640475,-0.9173679381775517,-1.1384923759048453,-0.3547073746643254,-0.26147716998432263,-0.49799497957467737,0.4148936170212778,0.06746987951807229,0.23448275862069057,0.42364532019704493,0.2571428571428571,0.14864864864864868,0.8227848101265821,0.20833333333333331,0.33742331288343586,0.3333333333333335,-0.40432861478214205,-0.31457327298111126,-0.2299407777120518,-0.3249113470873442,-0.7548483661216794,-0.2994213099382011,-1.1969744441833288,-1.0905428548552936,0.768595041322314,-0.3686796199433616,-0.3326745740736747,-0.3945298791756669,0.6568627450980393,-0.3454793028233245,-0.33951180611383547,-0.3237774646977411,-0.3709770135311301,-0.43954570109286795,-0.23583376726812413,-0.33549078723573755,-0.33950493574524326,-0.32910151159026496,-0.36667897728836946
louisiana,10.0,78.0,32.0,62.0,45.5,0.008852050561135442,0.370967741935484,(±4.7),-0.2561473025292447,-0.24037306850263668,0.31360946745562135,-0.2403608859074086,0.5757575757575757,0.45454545454545436,0.4526315789473685,0.891891891891893,0.5405797101449276,0.8629032258064518,0.033112582781456956,0.027173913043478257,0.009803921568627453,0.01762114537444933,0.07383966244725737,0.5161290322580646,-0.3421252304799465,0.10236220472440946,-0.2422419315001369,-0.10040825925822003,-0.6095454698756418,-0.7295773235634609,-1.1270680154811676,-0.5556642101614379,-0.29841146656804746,-0.25616587790808115,0.22548440963792885,0.6489361702127674,0.13975903614457835,0.17931034482758612,0.2906403940886704,0.1714285714285717,0.1576576576576576,0.5569620253164557,0.36309523809523814,0.37423312883435633,0.3801169590643272,-0.14561783234872433,-0.2776288033642793,-0.25646458657213067,-0.2528778766237766,-0.3431018844274558,0.2599957282025661,-1.1784588908985802,-1.0173198139910407,0.9090909090909093,-0.2879251363031514,-0.2943810456557499,-0.3323086688815353,0.42156862745098045,-0.2094199141992622,-0.21372972574516005,-0.23544336015806816,-0.18744311450909087,-0.10864554130458903,-0.2874185497944744,-0.16084652832415383,-0.217087827876777,-0.3484463137104987,-0.322918876902329
